plate_alias,row,col,Neon-raw,Crim-raw
N2C3neon_WCS365crim_halfLacZ,F,2,191394,118834
N2C3neon_WCS365crim_halfLacZ,G,2,17788,195190
N2C3neon_WCS365crim_halfLacZ,H,2,21895,251164
N2C3neon_WCS365crim_halfLacZ,A,3,149332,126243
N2C3neon_WCS365crim_halfLacZ,B,3,285529,155886
N2C3neon_WCS365crim_halfLacZ,C,3,21113,379020
N2C3neon_WCS365crim_halfLacZ,D,3,21253,228967
N2C3neon_WCS365crim_halfLacZ,E,3,177346,180283
N2C3neon_WCS365crim_halfLacZ,F,3,101672,80870
N2C3neon_WCS365crim_halfLacZ,G,3,22933,194702
N2C3neon_WCS365crim_halfLacZ,H,3,18831,163394
N2C3neon_WCS365crim_halfLacZ,A,4,264142,2607
N2C3neon_WCS365crim_halfLacZ,B,4,1032887,3923
N2C3neon_WCS365crim_halfLacZ,C,4,14440,3139
N2C3neon_WCS365crim_halfLacZ,D,4,15006,4447
N2C3neon_WCS365crim_halfLacZ,E,4,387184,2617
N2C3neon_WCS365crim_halfLacZ,F,4,900755,5759
N2C3neon_WCS365crim_halfLacZ,G,4,13344,3141
N2C3neon_WCS365crim_halfLacZ,H,4,14459,4714
N2C3neon_WCS365crim_halfLacZ,A,5,435030,4696
N2C3neon_WCS365crim_halfLacZ,B,5,815847,2092
N2C3neon_WCS365crim_halfLacZ,C,5,14651,3400
N2C3neon_WCS365crim_halfLacZ,D,5,14522,3663
N2C3neon_WCS365crim_halfLacZ,E,5,729232,5233
N2C3neon_WCS365crim_halfLacZ,F,5,1334326,4188
N2C3neon_WCS365crim_halfLacZ,G,5,15565,3926
N2C3neon_WCS365crim_halfLacZ,H,5,12582,3142
N2C3neon_WCS365crim_halfLacZ,A,6,409023,2349
N2C3neon_WCS365crim_halfLacZ,B,6,508355,2092
N2C3neon_WCS365crim_halfLacZ,C,6,15482,2877
N2C3neon_WCS365crim_halfLacZ,D,6,13687,1831
N2C3neon_WCS365crim_halfLacZ,E,6,951968,4448
N2C3neon_WCS365crim_halfLacZ,F,6,805130,3926
N2C3neon_WCS365crim_halfLacZ,G,6,13552,2356
N2C3neon_WCS365crim_halfLacZ,H,6,12442,1047
N2C3neon_WCS365crim_halfLacZ,A,7,20468,161914
N2C3neon_WCS365crim_halfLacZ,B,7,16102,141725
N2C3neon_WCS365crim_halfLacZ,C,7,23398,243817
N2C3neon_WCS365crim_halfLacZ,D,7,22644,307968
N2C3neon_WCS365crim_halfLacZ,E,7,79085,377414
N2C3neon_WCS365crim_halfLacZ,F,7,77673,171175
N2C3neon_WCS365crim_halfLacZ,G,7,23763,226710
N2C3neon_WCS365crim_halfLacZ,H,7,15429,154749
N2C3neon_WCS365crim_halfLacZ,A,8,13666,65835
N2C3neon_WCS365crim_halfLacZ,B,8,49143,197431
N2C3neon_WCS365crim_halfLacZ,C,8,22569,215047
N2C3neon_WCS365crim_halfLacZ,D,8,23000,253526
N2C3neon_WCS365crim_halfLacZ,E,8,31133,136353
N2C3neon_WCS365crim_halfLacZ,F,8,74837,200478
N2C3neon_WCS365crim_halfLacZ,G,8,19875,158640
N2C3neon_WCS365crim_halfLacZ,H,8,14802,239595
N2C3neon_WCS365crim_halfLacZ,A,9,24769,113154
N2C3neon_WCS365crim_halfLacZ,B,9,17767,140657
N2C3neon_WCS365crim_halfLacZ,C,9,22148,140764
N2C3neon_WCS365crim_halfLacZ,D,9,44683,668280
N2C3neon_WCS365crim_halfLacZ,E,9,24039,148658
N2C3neon_WCS365crim_halfLacZ,F,9,29262,86881
N2C3neon_WCS365crim_halfLacZ,G,9,18341,209988
N2C3neon_WCS365crim_halfLacZ,H,9,16404,198696
N2C3neon_WCS365crim_halfLacZ,A,10,366266,3136
N2C3neon_WCS365crim_halfLacZ,B,10,752561,3137
N2C3neon_WCS365crim_halfLacZ,C,10,13956,2616
N2C3neon_WCS365crim_halfLacZ,D,10,18201,3924
N2C3neon_WCS365crim_halfLacZ,E,10,550707,1570
N2C3neon_WCS365crim_halfLacZ,F,10,524657,4187
N2C3neon_WCS365crim_halfLacZ,G,10,12371,4712
N2C3neon_WCS365crim_halfLacZ,H,10,12789,2356
N2C3neon_WCS365crim_halfLacZ,A,11,221281,4444
N2C3neon_WCS365crim_halfLacZ,B,11,828372,3397
N2C3neon_WCS365crim_halfLacZ,C,11,13262,2878
N2C3neon_WCS365crim_halfLacZ,D,11,17436,2353
N2C3neon_WCS365crim_halfLacZ,E,11,297754,4188
N2C3neon_WCS365crim_halfLacZ,F,11,519672,3401
N2C3neon_WCS365crim_halfLacZ,G,11,13969,3927
N2C3neon_WCS365crim_halfLacZ,H,11,12370,3926
N2C3neon_WCS365crim_halfLacZ,A,12,118814,3398
N2C3neon_WCS365crim_halfLacZ,B,12,224247,3657
N2C3neon_WCS365crim_halfLacZ,C,12,15491,2616
N2C3neon_WCS365crim_halfLacZ,D,12,10767,2091
N2C3neon_WCS365crim_halfLacZ,E,12,248971,3402
N2C3neon_WCS365crim_halfLacZ,G,12,197039,1830
N2C3neon_WCS365crim_halfLacZ,H,12,14662,4188
N2C3neon_WCS365crim_halfLacZ,H,12,11400,3399
NW_bothcrimneon_allLacZ,A,1,94223,34173
NW_bothcrimneon_allLacZ,B,1,83670,73342
NW_bothcrimneon_allLacZ,C,1,21455,209822
NW_bothcrimneon_allLacZ,D,1,13755,59857
NW_bothcrimneon_allLacZ,E,1,13819,87860
NW_bothcrimneon_allLacZ,F,1,13828,68078
NW_bothcrimneon_allLacZ,G,1,13413,71992
NW_bothcrimneon_allLacZ,H,1,12092,55110
NW_bothcrimneon_allLacZ,A,2,102694,132708
NW_bothcrimneon_allLacZ,B,2,176869,91873
NW_bothcrimneon_allLacZ,C,2,17846,146122
NW_bothcrimneon_allLacZ,D,2,15420,108062
NW_bothcrimneon_allLacZ,E,2,18552,129210
NW_bothcrimneon_allLacZ,F,2,18279,134041
NW_bothcrimneon_allLacZ,G,2,18204,158631
NW_bothcrimneon_allLacZ,H,2,14388,89820
NW_bothcrimneon_allLacZ,A,3,869216,2899
NW_bothcrimneon_allLacZ,B,3,462274,4237
NW_bothcrimneon_allLacZ,C,3,11945,2912
NW_bothcrimneon_allLacZ,D,3,12709,2384
NW_bothcrimneon_allLacZ,E,3,21268,164197
NW_bothcrimneon_allLacZ,F,3,18279,171917
NW_bothcrimneon_allLacZ,G,3,13412,3443
NW_bothcrimneon_allLacZ,H,3,11186,1855
NW_bothcrimneon_allLacZ,A,4,461988,2903
