plate_alias,row,col,Neon-raw,Crim-raw,Neon-cfu,Crim-cfu
WCS365Crim-N2C3Neon-B,D,5,28116,330465,,
WCS365Crim-N2C3Neon-B,E,5,209359,223829,,
WCS365Crim-N2C3Neon-B,F,5,25823,250917,,
WCS365Crim-N2C3Neon-B,G,5,24279,269961,,
WCS365Crim-N2C3Neon-B,H,5,18421,230002,,
WCS365Crim-N2C3Neon-B,A,6,270531,5551,,
WCS365Crim-N2C3Neon-B,B,6,105489,64953,,
WCS365Crim-N2C3Neon-B,C,6,33396,307945,,
WCS365Crim-N2C3Neon-B,D,6,22804,211889,,
WCS365Crim-N2C3Neon-B,E,6,287715,7080,,
WCS365Crim-N2C3Neon-B,F,6,169605,125974,,
WCS365Crim-N2C3Neon-B,G,6,31676,393181,,
WCS365Crim-N2C3Neon-B,H,6,20300,188004,,
WCS365Crim-N2C3Neon-B,A,7,279315,2272,,
WCS365Crim-N2C3Neon-B,B,7,274887,5813,,
WCS365Crim-N2C3Neon-B,C,7,243970,120334,,
WCS365Crim-N2C3Neon-B,D,7,17783,158257,,
WCS365Crim-N2C3Neon-B,E,7,447496,4805,,
WCS365Crim-N2C3Neon-B,F,7,742528,8346,,
WCS365Crim-N2C3Neon-B,G,7,248845,125490,,
WCS365Crim-N2C3Neon-B,H,7,18975,145219,,
WCS365Crim-N2C3Neon-B,A,8,153884,2778,,
WCS365Crim-N2C3Neon-B,B,8,708513,3790,,
WCS365Crim-N2C3Neon-B,C,8,114408,20983,,
WCS365Crim-N2C3Neon-B,D,8,20576,175709,,
WCS365Crim-N2C3Neon-B,E,8,779963,5057,,
WCS365Crim-N2C3Neon-B,F,8,406473,5058,,
WCS365Crim-N2C3Neon-B,G,8,463657,75389,,
WCS365Crim-N2C3Neon-B,H,8,17998,326376,,
WCS365Crim-N2C3Neon-B,A,9,116633,159137,,
WCS365Crim-N2C3Neon-B,B,9,34224,343179,,
WCS365Crim-N2C3Neon-B,C,9,21821,331774,,
WCS365Crim-N2C3Neon-B,D,9,24901,321557,,
WCS365Crim-N2C3Neon-B,E,9,202668,174009,,
WCS365Crim-N2C3Neon-B,F,9,26096,290575,,
WCS365Crim-N2C3Neon-B,G,9,25042,476968,,
WCS365Crim-N2C3Neon-B,H,9,18420,199840,,
WCS365Crim-N2C3Neon-B,A,10,380374,6820,,
WCS365Crim-N2C3Neon-B,B,10,482604,126078,,
WCS365Crim-N2C3Neon-B,C,10,24193,218197,,
WCS365Crim-N2C3Neon-B,D,10,31600,301317,,
WCS365Crim-N2C3Neon-B,E,10,535841,7587,,
WCS365Crim-N2C3Neon-B,F,10,85406,185860,,
WCS365Crim-N2C3Neon-B,G,10,23226,237072,,
WCS365Crim-N2C3Neon-B,H,10,19676,202370,,
WCS365Crim-N2C3Neon-B,A,11,129669,3284,,
WCS365Crim-N2C3Neon-B,B,11,291151,4294,,
WCS365Crim-N2C3Neon-B,C,11,62062,130711,,
WCS365Crim-N2C3Neon-B,D,11,17922,159980,,
WCS365Crim-N2C3Neon-B,E,11,631071,3287,,
WCS365Crim-N2C3Neon-B,F,11,74382,3287,,
WCS365Crim-N2C3Neon-B,G,11,132112,126758,,
WCS365Crim-N2C3Neon-B,H,11,12349,98378,,
WCS365Crim-N2C3Neon-B,A,12,106304,2527,,
WCS365Crim-N2C3Neon-B,B,12,108824,2525,,
WCS365Crim-N2C3Neon-B,C,12,192970,13653,,
WCS365Crim-N2C3Neon-B,D,12,17223,141201,,
WCS365Crim-N2C3Neon-B,E,12,894185,2529,,
WCS365Crim-N2C3Neon-B,F,12,104088,3790,,
WCS365Crim-N2C3Neon-B,G,12,560097,32891,,
WCS365Crim-N2C3Neon-B,H,12,13043,70767,,
WCS365Neon-N2C3Crim-B,A,1,647158,87808,,
WCS365Neon-N2C3Crim-B,B,1,481106,5838,,
WCS365Neon-N2C3Crim-B,C,1,141990,2283,,
WCS365Neon-N2C3Crim-B,D,1,151982,3047,,
WCS365Neon-N2C3Crim-B,E,1,44324,40334,,
WCS365Neon-N2C3Crim-B,F,1,131212,10158,,
WCS365Neon-N2C3Crim-B,G,1,44336,4567,,
WCS365Neon-N2C3Crim-B,H,1,584099,2540,,
WCS365Neon-N2C3Crim-B,A,2,15049,91196,,
WCS365Neon-N2C3Crim-B,B,2,90863,145199,,
WCS365Neon-N2C3Crim-B,C,2,268961,6342,,
WCS365Neon-N2C3Crim-B,D,2,226137,3047,,
WCS365Neon-N2C3Crim-B,E,2,23112,171066,,
WCS365Neon-N2C3Crim-B,F,2,143110,117065,,
WCS365Neon-N2C3Crim-B,G,2,36392,15992,,
