plate_alias,row,col,,Abs600,Neon-raw,Neon-btm-raw,Crim-raw,Crim-btm-raw
PlateC_cropped,A,5,PlateC_croppedA5,0.1111,316389,92530,40530,12773
PlateC_cropped,B,5,PlateC_croppedB5,0.1217,541005,217998,2520,1906
PlateC_cropped,C,5,PlateC_croppedC5,0.1162,510054,151413,3642,1634
PlateC_cropped,D,5,PlateC_croppedD5,0.1165,486044,103091,4202,2179
PlateC_cropped,E,5,PlateC_croppedE5,0.1155,256153,62794,32505,11174
PlateC_cropped,F,5,PlateC_croppedF5,0.1016,369563,94041,7005,545
PlateC_cropped,G,5,PlateC_croppedG5,0.1003,276911,60500,3083,1636
PlateC_cropped,H,5,PlateC_croppedH5,0.0891,201276,41530,3083,1363
PlateC_cropped,A,6,PlateC_croppedA6,0.1212,14997,4223,153285,45970
PlateC_cropped,B,6,PlateC_croppedB6,0.1075,360410,110557,5040,1089
PlateC_cropped,C,6,PlateC_croppedC6,0.113,445748,132622,4482,1907
PlateC_cropped,D,6,PlateC_croppedD6,0.1056,385405,81168,1961,1635
PlateC_cropped,E,6,PlateC_croppedE6,0.1049,25668,4778,163117,20441
PlateC_cropped,F,6,PlateC_croppedF6,0.0935,225093,50944,6165,2180
PlateC_cropped,G,6,PlateC_croppedG6,0.0923,213270,58725,3924,1363
PlateC_cropped,H,6,PlateC_croppedH6,0.097,165912,51297,2803,545
PlateC_cropped,A,7,PlateC_croppedA7,0.1128,17956,3815,111356,35912
PlateC_cropped,B,7,PlateC_croppedB7,0.1198,20393,4637,162424,33215
PlateC_cropped,C,7,PlateC_croppedC7,0.101,406908,111476,4763,2452
PlateC_cropped,D,7,PlateC_croppedD7,0.1026,392051,101734,3081,272
PlateC_cropped,E,7,PlateC_croppedE7,0.1355,28700,4505,196205,41703
PlateC_cropped,F,7,PlateC_croppedF7,0.108,21234,3209,145164,18531
PlateC_cropped,G,7,PlateC_croppedG7,0.1003,270540,66301,4766,818
PlateC_cropped,H,7,PlateC_croppedH7,0.1059,249631,123996,4765,1091
PlateC_cropped,A,8,PlateC_croppedA8,0.1178,17822,3611,154782,32384
PlateC_cropped,B,8,PlateC_croppedB8,0.1199,20259,3410,197408,30769
PlateC_cropped,C,8,PlateC_croppedC8,0.1439,25451,4502,106474,25881
PlateC_cropped,D,8,PlateC_croppedD8,0.0841,15632,2936,5042,545
PlateC_cropped,E,8,PlateC_croppedE8,0.1258,22172,4505,140995,30255
PlateC_cropped,F,8,PlateC_croppedF8,0.1146,19886,4575,143461,22073
PlateC_cropped,G,8,PlateC_croppedG8,0.1011,16783,3346,75425,13908
PlateC_cropped,H,8,PlateC_croppedH8,0.0817,12473,3688,3924,1091
PlateC_cropped,A,9,PlateC_croppedA9,0.108,42302,11650,234863,29399
PlateC_cropped,B,9,PlateC_croppedB9,0.1095,355306,113068,3640,1906
PlateC_cropped,C,9,PlateC_croppedC9,0.109,356524,109497,3363,1090
PlateC_cropped,D,9,PlateC_croppedD9,0.1111,354773,109631,2521,1362
PlateC_cropped,E,9,PlateC_croppedE9,0.1103,308615,68676,50451,8177
PlateC_cropped,F,9,PlateC_croppedF9,0.1025,310509,79900,3082,2180
PlateC_cropped,G,9,PlateC_croppedG9,0.0931,138052,33117,3645,1636
PlateC_cropped,H,9,PlateC_croppedH9,0.096,164923,55737,3083,545
PlateC_cropped,A,10,PlateC_croppedA10,0.1085,15131,3407,105558,33215
PlateC_cropped,B,10,PlateC_croppedB10,0.1121,294846,177312,4199,1089
PlateC_cropped,C,10,PlateC_croppedC10,0.1297,598836,189956,3082,545
PlateC_cropped,D,10,PlateC_croppedD10,0.1394,1031750,265233,5322,817
PlateC_cropped,E,10,PlateC_croppedE10,0.1371,20687,4232,186946,42516
PlateC_cropped,F,10,PlateC_croppedF10,0.0958,250803,51827,7284,2180
PlateC_cropped,G,10,PlateC_croppedG10,0.0902,170533,35912,2523,1091
PlateC_cropped,H,10,PlateC_croppedH10,0.0967,198571,64557,3643,1363
PlateC_cropped,A,11,PlateC_croppedA11,0.1036,13788,3407,89902,36486
PlateC_cropped,B,11,PlateC_croppedB11,0.128,21874,3478,171272,30208
PlateC_cropped,C,11,PlateC_croppedC11,0.1159,390819,175687,4483,1362
PlateC_cropped,D,11,PlateC_croppedD11,0.1207,516842,167143,1400,1089
PlateC_cropped,E,11,PlateC_croppedE11,0.1303,19809,4300,141282,37615
PlateC_cropped,F,11,PlateC_croppedF11,0.1182,21168,3483,175923,32417
PlateC_cropped,G,11,PlateC_croppedG11,0.0929,215011,52721,3645,1636
PlateC_cropped,H,11,PlateC_croppedH11,0.0874,144055,39895,1681,818
PlateC_cropped,A,12,PlateC_croppedA12,0.1128,15134,4906,84582,44657
PlateC_cropped,B,12,PlateC_croppedB12,0.1221,15545,4226,132334,51425
PlateC_cropped,C,12,PlateC_croppedC12,0.1124,11850,4025,61373,32159
PlateC_cropped,D,12,PlateC_croppedD12,0.081,12934,2662,3359,1361
PlateC_cropped,E,12,PlateC_croppedE12,0.1118,17182,2526,128384,26714
PlateC_cropped,F,12,PlateC_croppedF12,0.0956,16379,3483,89315,14160
PlateC_cropped,G,12,PlateC_croppedG12,0.1052,16917,3551,110753,27821
PlateC_cropped,H,12,PlateC_croppedH12,0.0816,12809,2050,2521,1090
PlateD_cropped,A,1,PlateD_croppedA1,0.0907,202896,38239,33650,6826
PlateD_cropped,B,1,PlateD_croppedB1,0.4667,1129252,557551,2478,2216
PlateD_cropped,C,1,PlateD_croppedC1,0.3995,1319040,1414861,2751,1107
PlateD_cropped,D,1,PlateD_croppedD1,0.3083,601530,253732,1928,1662
PlateD_cropped,E,1,PlateD_croppedE1,0.0923,58373,17227,39631,11904
PlateD_cropped,F,1,PlateD_croppedF1,0.1348,203908,101415,3306,1663
PlateD_cropped,G,1,PlateD_croppedG1,0.0898,234458,44798,2202,2215
PlateD_cropped,H,1,PlateD_croppedH1,0.1204,243852,140640,3031,1663
PlateD_cropped,A,2,PlateD_croppedA2,0.1161,13917,3959,136133,56376
PlateD_cropped,B,2,PlateD_croppedB2,0.1368,326318,292005,3028,2770
PlateD_cropped,C,2,PlateD_croppedC2,0.0977,258011,131528,3028,554
PlateD_cropped,D,2,PlateD_croppedD2,0.1404,405146,296614,5233,1385
PlateD_cropped,E,2,PlateD_croppedE2,0.1213,20888,3075,161380,25210
PlateD_cropped,F,2,PlateD_croppedF2,0.1053,318355,109541,3581,2217
PlateD_cropped,G,2,PlateD_croppedG2,0.5264,634041,337387,1652,1662
PlateD_cropped,H,2,PlateD_croppedH2,0.0952,177905,62375,2756,2495
PlateD_cropped,A,3,PlateD_croppedA3,0.0936,14451,3206,83608,16546
PlateD_cropped,B,3,PlateD_croppedB3,0.1214,18549,3960,167107,38223
PlateD_cropped,C,3,PlateD_croppedC3,0.1077,400999,177238,3855,1662
PlateD_cropped,D,3,PlateD_croppedD3,0.0998,300904,73209,4406,1939
PlateD_cropped,E,3,PlateD_croppedE3,0.1246,19595,4099,134970,26603
PlateD_cropped,F,3,PlateD_croppedF3,0.1205,22610,3281,184564,28269
PlateD_cropped,G,3,PlateD_croppedG3,0.105,355724,81974,7163,1109
PlateD_cropped,H,3,PlateD_croppedH3,0.095,156668,63056,3306,1109
PlateD_cropped,A,4,PlateD_croppedA4,0.0953,16018,3137,110638,22375
PlateD_cropped,B,4,PlateD_croppedB4,0.1323,22782,3960,213637,44313
PlateD_cropped,C,4,PlateD_croppedC4,0.1166,19370,3482,71598,16069
PlateD_cropped,D,4,PlateD_croppedD4,0.0828,13653,2665,4957,277
PlateD_cropped,E,4,PlateD_croppedE4,0.1203,21844,4032,166385,32978
PlateD_cropped,F,4,PlateD_croppedF4,0.1234,18780,3281,195868,29932
PlateD_cropped,G,4,PlateD_croppedG4,0.1109,22194,3828,154022,20509
PlateD_cropped,H,4,PlateD_croppedH4,0.0782,11000,2803,1653,1109
PlateD_cropped,A,5,PlateD_croppedA5,0.1044,262976,110200,18132,8017
PlateD_cropped,B,5,PlateD_croppedB5,0.1257,394272,171509,4129,1662
PlateD_cropped,C,5,PlateD_croppedC5,0.1344,949247,320321,3305,1662
PlateD_cropped,D,5,PlateD_croppedD5,0.2157,939877,567055,3305,1939
PlateD_cropped,E,5,PlateD_croppedE5,0.1089,273773,72770,20659,4434
PlateD_cropped,F,5,PlateD_croppedF5,0.1247,385393,182550,4132,554
PlateD_cropped,G,5,PlateD_croppedG5,0.1062,368352,94422,4408,1663
PlateD_cropped,H,5,PlateD_croppedH5,0.0867,130010,39732,2755,2218
PlateD_cropped,A,6,PlateD_croppedA6,0.1096,17646,2863,160015,31810
PlateD_cropped,B,6,PlateD_croppedB6,0.1055,417775,149374,4680,3323
PlateD_cropped,C,6,PlateD_croppedC6,0.1142,477164,173676,5233,1108
PlateD_cropped,D,6,PlateD_croppedD6,0.1063,381575,115084,5232,2216
PlateD_cropped,E,6,PlateD_croppedE6,0.1415,23822,4100,239967,51277
PlateD_cropped,F,6,PlateD_croppedF6,0.1102,439303,115280,6060,554
PlateD_cropped,G,6,PlateD_croppedG6,0.1538,724507,293398,3582,277
PlateD_cropped,H,6,PlateD_croppedH6,0.1004,146313,75021,1929,1663
PlateD_cropped,A,7,PlateD_croppedA7,0.1053,15467,3955,143294,33206
PlateD_cropped,B,7,PlateD_croppedB7,0.1256,19433,3208,196566,35170
PlateD_cropped,C,7,PlateD_croppedC7,0.1001,473393,107017,4958,1385
PlateD_cropped,D,7,PlateD_croppedD7,0.1081,509389,148309,3029,1385
PlateD_cropped,E,7,PlateD_croppedE7,0.1168,20887,3143,173027,27992
PlateD_cropped,F,7,PlateD_croppedF7,0.1091,25135,2666,131943,19952
PlateD_cropped,G,7,PlateD_croppedG7,0.0972,314987,76572,2755,832
PlateD_cropped,H,7,PlateD_croppedH7,0.1208,301845,211402,4408,1940
PlateD_cropped,A,8,PlateD_croppedA8,0.123,18671,4501,156818,40958
PlateD_cropped,B,8,PlateD_croppedB8,0.1379,24890,4164,251296,47908
PlateD_cropped,C,8,PlateD_croppedC8,0.1076,22446,3073,134422,28263
PlateD_cropped,D,8,PlateD_croppedD8,0.0807,13517,3007,2478,554
PlateD_cropped,E,8,PlateD_croppedE8,0.1191,19802,3485,141343,23834
PlateD_cropped,F,8,PlateD_croppedF8,0.1037,30254,4375,147924,24385
PlateD_cropped,G,8,PlateD_croppedG8,0.1126,21445,3486,177745,21622
PlateD_cropped,H,8,PlateD_croppedH8,0.0786,11614,2257,3581,1109
PlateD_cropped,A,9,PlateD_croppedA9,0.1177,260695,113760,19810,6090
PlateD_cropped,B,9,PlateD_croppedB9,0.1166,432830,192602,3853,831
PlateD_cropped,C,9,PlateD_croppedC9,0.113,350286,109488,3581,1663
PlateD_cropped,D,9,PlateD_croppedD9,0.1914,1649282,569104,3855,1662
PlateD_cropped,E,9,PlateD_croppedE9,0.1067,322630,68549,55105,8315
PlateD_cropped,F,9,PlateD_croppedF9,0.1073,308263,89780,1653,1108
PlateD_cropped,G,9,PlateD_croppedG9,0.1127,454027,119574,2480,1109
PlateD_cropped,H,9,PlateD_croppedH9,0.0867,134234,45410,3306,1663
PlateD_cropped,A,10,PlateD_croppedA10,0.1006,17445,3478,181078,23812
PlateD_cropped,B,10,PlateD_croppedB10,0.105,396777,156881,5228,1938
PlateD_cropped,C,10,PlateD_croppedC10,0.1019,303055,105805,3856,1108
PlateD_cropped,D,10,PlateD_croppedD10,0.1121,449680,148574,3580,2216
PlateD_cropped,E,10,PlateD_croppedE10,0.109,20620,3006,202790,23834
PlateD_cropped,F,10,PlateD_croppedF10,0.1036,413266,99750,5233,277
PlateD_cropped,G,10,PlateD_croppedG10,0.1148,415875,128194,2755,1663
PlateD_cropped,H,10,PlateD_croppedH10,0.0908,221309,72770,2204,1663
PlateD_cropped,A,11,PlateD_croppedA11,0.1,16151,3546,141747,24644
PlateD_cropped,B,11,PlateD_croppedB11,0.0932,20456,3276,155167,10241
PlateD_cropped,C,11,PlateD_croppedC11,0.0972,269898,90219,4407,1108
PlateD_cropped,D,11,PlateD_croppedD11,0.0948,245563,73599,3579,1662
PlateD_cropped,E,11,PlateD_croppedE11,0.1132,26764,4442,171090,34647
PlateD_cropped,F,11,PlateD_croppedF11,0.117,20629,3282,134374,20498
PlateD_cropped,G,11,PlateD_croppedG11,0.108,1149115,100434,13502,554
PlateD_cropped,H,11,PlateD_croppedH11,0.103,285039,95546,1377,1940
PlateD_cropped,A,12,PlateD_croppedA12,0.0969,16492,3343,87542,32399
PlateD_cropped,B,12,PlateD_croppedB12,0.0887,16977,3207,76178,12727
PlateD_cropped,C,12,PlateD_croppedC12,0.1,18623,3278,140476,19951
PlateD_cropped,D,12,PlateD_croppedD12,0.0795,10921,2664,1651,1107
PlateD_cropped,E,12,PlateD_croppedE12,0.1047,24512,2802,204173,29657
PlateD_cropped,F,12,PlateD_croppedF12,0.1519,17070,5946,165965,74204
PlateD_cropped,G,12,PlateD_croppedG12,0.1076,16254,3145,97830,18019
PlateD_cropped,H,12,PlateD_croppedH12,0.0797,11749,2394,3303,1108
