experiment	transfer_h	strain1	strain2	strain2_od	WN_FC_fluor_offset	Healthiness_hsv	strain1_meanCount	strain1_sd	plant_quality	Alive	batchtest	strain2_meanCount	strain2_sd	ratioCFU_S12	S12_FC_inocCFU	WN_FC_inocCFU	Treatment	rep_on	treatment
2024-03-20	0	N2C3	WCS365	5e-04	1.64810890707604	388.539340850585	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	5e-04	1.93600720152347	495.762386738113	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	5e-04	0.533604895615426	389.986011035603	NA	NA	NA	0	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	5e-04	0.994721618621986	454.684103121007	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	5e-04	1.39552538830914	442.54333452274	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	5e-04	1.42627776732117	483.433143648834	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	WCS365	N2C3	5e-04	2.28149581284247	421.031869163226	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	N2C3	WCS365	0.005	5.36973470329999	441.340339419677	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	N2C3	WCS365	0.005	4.14764925817032	454.270748149801	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	N2C3	WCS365	0.005	4.56987585657888	483.311294091646	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	N2C3	WCS365	0.005	3.90167124601414	466.077851902381	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
2024-03-20	0	N2C3	WCS365	0.005	4.57920207676547	441.200190969084	NA	NA	NA	1	A	NA	NA	NA	NA	NA	Simultaneous inoculation	NA	NA
