plate,row,col,od_after
N2C3_WCS365_6day002_cropped,H,1,0.2356
N2C3_WCS365_6day002_cropped,A,2,0.1319
N2C3_WCS365_6day002_cropped,B,2,0.128
N2C3_WCS365_6day002_cropped,C,2,0.1256
N2C3_WCS365_6day002_cropped,D,2,0.1288
N2C3_WCS365_6day002_cropped,E,2,0.1064
N2C3_WCS365_6day002_cropped,F,2,0.1
N2C3_WCS365_6day002_cropped,G,2,0.1162
N2C3_WCS365_6day002_cropped,H,2,0.1236
N2C3_WCS365_6day002_cropped,A,3,0.1287
N2C3_WCS365_6day002_cropped,B,3,0.1401
N2C3_WCS365_6day002_cropped,C,3,0.1317
N2C3_WCS365_6day002_cropped,D,3,0.1243
N2C3_WCS365_6day002_cropped,E,3,0.2086
N2C3_WCS365_6day002_cropped,F,3,0.1008
N2C3_WCS365_6day002_cropped,G,3,0.1092
N2C3_WCS365_6day002_cropped,H,3,0.1091
N2C3_WCS365_6day002_cropped,A,4,0.1345
N2C3_WCS365_6day002_cropped,B,4,0.1431
N2C3_WCS365_6day002_cropped,C,4,0.1262
N2C3_WCS365_6day002_cropped,D,4,0.2111
N2C3_WCS365_6day002_cropped,E,4,0.2835
N2C3_WCS365_6day002_cropped,F,4,0.2781
N2C3_WCS365_6day002_cropped,G,4,0.11
N2C3_WCS365_6day002_cropped,H,4,0.1059
N2C3_WCS365_6day002_cropped,A,5,0.1645
N2C3_WCS365_6day002_cropped,B,5,0.1191
N2C3_WCS365_6day002_cropped,C,5,0.1161
N2C3_WCS365_6day002_cropped,D,5,0.2629
N2C3_WCS365_6day002_cropped,E,5,0.2611
N2C3_WCS365_6day002_cropped,F,5,0.2401
N2C3_WCS365_6day002_cropped,G,5,0.1081
N2C3_WCS365_6day002_cropped,H,5,0.1131
N2C3_WCS365_6day002_cropped,A,6,0.0903
N2C3_WCS365_6day002_cropped,B,6,0.1286
N2C3_WCS365_6day002_cropped,C,6,0.2657
N2C3_WCS365_6day002_cropped,D,6,0.2445
N2C3_WCS365_6day002_cropped,E,6,0.2562
N2C3_WCS365_6day002_cropped,F,6,0.2087
N2C3_WCS365_6day002_cropped,G,6,0.0844
N2C3_WCS365_6day002_cropped,H,6,0.0865
N2C3_WCS365_6day002_cropped,A,7,0.1582
N2C3_WCS365_6day002_cropped,B,7,0.3272
N2C3_WCS365_6day002_cropped,C,7,0.3268
N2C3_WCS365_6day002_cropped,D,7,0.3342
N2C3_WCS365_6day002_cropped,E,7,0.3265
N2C3_WCS365_6day002_cropped,F,7,0.2423
N2C3_WCS365_6day002_cropped,G,7,0.1777
N2C3_WCS365_6day002_cropped,H,7,0.1789
N2C3_WCS365_6day002_cropped,A,8,0.1491
N2C3_WCS365_6day002_cropped,B,8,0.1756
N2C3_WCS365_6day002_cropped,C,8,0.2546
N2C3_WCS365_6day002_cropped,D,8,0.2677
N2C3_WCS365_6day002_cropped,E,8,0.2695
N2C3_WCS365_6day002_cropped,F,8,0.2242
N2C3_WCS365_6day002_cropped,G,8,1.613
N2C3_WCS365_6day002_cropped,H,8,0.1236
N2C3_WCS365_6day002_cropped,A,9,0.203
N2C3_WCS365_6day002_cropped,B,9,0.25
N2C3_WCS365_6day002_cropped,C,9,0.3337
N2C3_WCS365_6day002_cropped,D,9,0.2488
N2C3_WCS365_6day002_cropped,E,9,0.2789
N2C3_WCS365_6day002_cropped,F,9,0.2357
N2C3_WCS365_6day002_cropped,G,9,0.6398
N2C3_WCS365_6day002_cropped,H,9,0.1492
N2C3_WCS365_6day002_cropped,A,10,0.1153
N2C3_WCS365_6day002_cropped,B,10,0.2247
N2C3_WCS365_6day002_cropped,C,10,0.3061
N2C3_WCS365_6day002_cropped,D,10,0.3001
N2C3_WCS365_6day002_cropped,E,10,0.2742
N2C3_WCS365_6day002_cropped,F,10,0.2206
N2C3_WCS365_6day002_cropped,G,10,0.1202
N2C3_WCS365_6day002_cropped,H,10,0.1474
N2C3_WCS365_6day002_cropped,A,11,0.1218
N2C3_WCS365_6day002_cropped,B,11,0.2108
N2C3_WCS365_6day002_cropped,C,11,0.3469
N2C3_WCS365_6day002_cropped,D,11,0.3231
N2C3_WCS365_6day002_cropped,E,11,0.2721
N2C3_WCS365_6day002_cropped,F,11,0.1294
N2C3_WCS365_6day002_cropped,G,11,0.1302
N2C3_WCS365_6day002_cropped,H,11,0.1386
N2C3_WCS365_6day002_cropped,A,12,0.1168
N2C3_WCS365_6day002_cropped,B,12,0.0887
N2C3_WCS365_6day002_cropped,C,12,0.0861
N2C3_WCS365_6day002_cropped,D,12,0.0872
N2C3_WCS365_6day002_cropped,E,12,0.0861
N2C3_WCS365_6day002_cropped,F,12,0.0855
N2C3_WCS365_6day002_cropped,G,12,0.083
N2C3_WCS365_6day002_cropped,H,12,0.0875
N2C3_WCS365_DAY7_003_a,A,1,0.3267
