person,set,rank,id,healthy
SH,9,10,2757,T
SH,10,1,7274,F
SH,10,2,6967,F
SH,10,3,7713,F
SH,10,4,3235,F
SH,10,5,60,F
SH,10,6,6071,T
SH,10,7,363,T
SH,10,8,4505,T
SH,10,9,1356,T
SH,10,10,5324,T
CH,1,1,7713,F
CH,1,2,939,F
CH,1,3,1295,F
CH,1,4,1275,T
CH,1,5,2641,T
CH,1,6,81,T
CH,1,7,2603,T
CH,1,8,3344,T
CH,1,9,1361,T
CH,1,10,,
CH,2,1,7596,F
CH,2,2,7045,F
CH,2,3,3208,F
CH,2,4,1639,F
CH,2,5,7619,F
CH,2,6,7396,F
CH,2,7,60,F
CH,2,8,2603,T
CH,2,9,4277,T
CH,2,10,6588,T
CH,3,1,7713,F
CH,3,2,6719,F
CH,3,3,1571,F
CH,3,4,6255,T
CH,3,5,2603,T
CH,3,6,1951,T
CH,3,7,911,T
CH,3,8,6034,T
CH,3,9,1149,T
CH,3,10,6797,T
CH,4,1,465,F
CH,4,2,6470,F
CH,4,3,4512,F
CH,4,4,366,F
CH,4,5,3443,F
CH,4,6,5158,T
CH,4,7,2069,T
CH,4,8,5033,T
CH,4,9,2603,T
CH,4,10,3419,T
CH,5,1,4766,F
CH,5,2,3256,F
CH,5,3,5942,F
CH,5,4,4337,T
CH,5,5,5158,T
CH,5,6,6782,T
CH,5,7,2395,T
CH,5,8,4735,T
CH,5,9,2603,T
CH,5,10,1439,T
CH,6,1,7713,F
CH,6,2,6750,F
CH,6,3,1560,F
CH,6,4,7085,F
CH,6,5,2376,T
CH,6,6,618,T
CH,6,7,1529,T
CH,6,8,2603,T
CH,6,9,1000,T
CH,6,10,3849,T
CH,7,1,1321,F
CH,7,2,6598,F
CH,7,3,6879,F
CH,7,4,60,F
CH,7,5,1907,T
CH,7,6,1922,T
CH,7,7,2603,T
CH,7,8,3082,T
CH,7,9,4167,T
CH,7,10,5344,T
CH,8,1,7713,F
CH,8,2,3150,F
CH,8,3,4095,F
CH,8,4,944,F
CH,8,5,6496,T
CH,8,6,5158,T
CH,8,7,1816,T
CH,8,8,3749,T
CH,8,9,7293,T
CH,8,10,6724,T
CH,9,1,11,F
CH,9,2,270,F
CH,9,3,7713,F
CH,9,4,7647,F
CH,9,5,4000,F
CH,9,6,1940,F
CH,9,7,1693,T
CH,9,8,5158,T
CH,9,9,2121,T
CH,9,10,2757,T
CH,10,1,7274,F
CH,10,2,6967,F
CH,10,3,3235,F
CH,10,4,7713,F
CH,10,5,60,F
CH,10,6,6071,T
CH,10,7,4505,T
CH,10,8,363,T
CH,10,9,1356,T
CH,10,10,5324,T
