plate,experiment,well,row,col,abs600nm,neon_top,crim_top,readtime
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,G12,G,12,0.0894,80155,187920,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,H1,H,1,0.0993,141608,2173,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,H2,H,2,0.0906,200910,2444,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,H3,H,3,0.1669,304798,2444,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,H4,H,4,0.1245,512411,2172,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,H5,H,5,0.0955,395128,1086,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,H6,H,6,0.1332,529790,2173,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,H7,H,7,0.349,122691,331092,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,H8,H,8,0.2013,54593,434323,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,H9,H,9,0.2957,218717,448114,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,H10,H,10,0.2135,50759,301147,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,H11,H,11,0.3669,50212,308186,7
PlateA_T6h_Good_Trial5,2024_03_Peffect_Trial5,H12,H,12,0.0935,26571,61046,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,A1,A,1,0.1001,83687,16374,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,A2,A,2,0.1206,44670,49732,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,A3,A,3,0.0889,57949,18973,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,A4,A,4,0.089,56269,26604,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,A5,A,5,0.0981,43149,83958,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,A6,A,6,0.0901,138739,31803,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,A7,A,7,0.0857,291398,272,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,A8,A,8,0.0887,81506,4081,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,A9,A,9,0.0843,565562,2449,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,A10,A,10,0.0878,83174,2994,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,A11,A,11,0.124,841087,2449,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,A12,A,12,0.0947,65833,2722,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B1,B,1,0.0889,93127,35407,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B2,B,2,0.094,72860,111670,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B3,B,3,0.0936,84239,62926,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B4,B,4,0.0977,157005,58006,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B5,B,5,0.0902,113830,85786,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B6,B,6,0.0867,163331,43033,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B7,B,7,0.0858,224153,3813,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B8,B,8,0.0886,106854,3813,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B9,B,9,0.0849,185503,3267,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B10,B,10,0.0883,99779,4356,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B11,B,11,0.0816,94227,2722,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,B12,B,12,0.0896,60573,2992,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C1,C,1,0.0842,76725,6256,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C2,C,2,0.0878,206924,16332,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C3,C,3,0.0989,175648,31583,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C4,C,4,0.093,239156,9531,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C5,C,5,0.1088,301675,38940,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C6,C,6,0.0852,245693,6809,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C7,C,7,0.0934,146785,2996,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C8,C,8,0.0919,120176,3541,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C9,C,9,0.0923,325230,3541,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C10,C,10,0.0931,109972,4358,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C11,C,11,0.1121,211445,3541,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,C12,C,12,0.0979,79290,3268,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D1,D,1,0.1398,349664,5449,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D2,D,2,0.1033,384718,10355,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D3,D,3,0.0986,304302,7902,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D4,D,4,0.1258,571215,24246,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D5,D,5,0.1009,291589,14711,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D6,D,6,0.1043,366724,6538,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D7,D,7,0.1211,396974,4904,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D8,D,8,0.1191,209340,4632,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D9,D,9,0.098,360545,2179,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D10,D,10,0.1113,130853,5720,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D11,D,11,0.1265,453203,3541,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,D12,D,12,0.1088,184841,4898,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,E1,E,1,0.075,12075,1905,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,E2,E,2,0.081,16925,4085,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,E3,E,3,0.0779,15537,3268,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,E4,E,4,0.0768,16573,4359,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,E5,E,5,0.0787,15814,1362,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,E6,E,6,0.0785,17894,2452,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,E7,E,7,0.0977,71871,135131,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,E8,E,8,0.1015,55423,165382,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,E9,E,9,0.1068,108069,120430,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,E10,E,10,0.1038,69221,148234,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,E11,E,11,0.1195,54725,190727,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,E12,E,12,0.108,141347,44957,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,F1,F,1,0.0818,15673,1363,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,F2,F,2,0.0847,16854,4088,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,F3,F,3,0.0827,15879,3543,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,F4,F,4,0.0917,153389,2998,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,F5,F,5,0.084,18105,3270,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,F6,F,6,0.0797,14634,3815,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,F7,F,7,0.0989,170306,122370,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,F8,F,8,0.0982,204153,70858,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,F9,F,9,0.1124,91158,161322,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,F10,F,10,0.0979,103517,74660,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,F11,F,11,0.1033,141290,103001,7
PlateB_T6h_Bad_Trial5,2024_03_Peffect_Trial5,F12,F,12,0.1506,453283,16876,7
