experiment,plate,well,row,col,neon_top,crim_top,neon_btm,crim_btm,abs600,readtime
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,A11,A,11,37534,95891,18695,77777,0.1129,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,A12,A,12,210191,4472,53678,2208,0.1019,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,B1,B,1,497121,3728,630070,2701,0.1592,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,B2,B,2,259690,6960,92753,4174,0.0992,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,B3,B,3,1459173,10690,276350,3191,0.1288,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,B4,B,4,328983,7208,94992,4419,0.1034,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,B5,B,5,333242,9195,88149,5891,0.0987,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,B6,B,6,248443,6710,49972,2700,0.0923,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,B7,B,7,231722,6212,36020,1964,0.1046,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,B8,B,8,273704,4721,36508,2454,0.1074,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,B9,B,9,128801,6708,19874,736,0.0972,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,B10,B,10,100210,3726,30155,982,0.0914,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,B11,B,11,182044,4221,44171,2208,0.1132,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,B12,B,12,158122,4717,41188,2452,0.1068,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,C1,C,1,376656,2981,618597,1227,0.1683,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,C2,C,2,404846,1988,162066,2209,0.1204,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,C3,C,3,387462,1740,81945,1964,0.0975,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,C4,C,4,335570,5221,83674,1719,0.0994,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,C5,C,5,218791,3480,59506,1228,0.0915,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,C6,C,6,495917,4972,105364,737,0.1018,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,C7,C,7,220474,3232,41967,1228,0.1114,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,C8,C,8,134207,3480,19121,1228,0.0983,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,C9,C,9,162183,4227,21886,737,0.0984,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,C10,C,10,255702,3978,40936,1473,0.116,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,C11,C,11,173112,2735,57649,1228,0.119,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,C12,C,12,171319,3232,47224,982,0.1048,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,D1,D,1,297391,3482,262579,983,0.2232,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,D2,D,2,619232,4228,247502,983,0.1425,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,D3,D,3,654370,1741,161602,737,0.1102,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,D4,D,4,350203,1741,83152,1965,0.104,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,D5,D,5,284315,2238,54300,737,0.0882,7
2023-12_priorityeffects,Nov-9th-transfer-PlateC_cropped,D6,D,6,264703,3730,52964,1965,0.0922,7
